fighters_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,fighter_name
3965,0.13067088,0.059022557,0.068200685,0.23566066,0.13644041,0.16965458,0.03133414,0.07884953,0.054382622,0.28947443,0.17202234,0.0,0.27267817,0.05179096,0.0,0.02396585,0.06797545,0.04652867,0.0024800834,0.06781967,0.12552382,0.06803297,0.046000216,0.23488927,0.045640614,0.0034425126,0.10569804,0.08167422,0.032668512,0.027276818,0.029844765,0.091286235,Jared Vanderaa
3966,0.0,0.14697821,0.0,0.0,0.37028944,0.24156371,0.0,0.0,0.0,0.34103498,0.75385547,0.0,0.0,0.0,0.0,0.23221038,0.0,0.0,0.0,0.0,0.67783064,0.0,0.0,0.0,0.0,0.0,0.0,0.30300808,0.0,0.0,0.0,0.0,Austin Vanderford
3967,0.101020314,0.03950767,0.05555185,0.25076482,0.070425555,0.23854451,0.002939926,0.07703837,0.0176476,0.285037,0.10027583,0.0,0.24894597,0.03827362,0.008121449,0.25708267,0.04435239,0.14643374,0.0,0.051362086,0.009622141,0.08503401,0.08274496,0.21365188,0.17533173,0.0039627445,0.19899784,0.08280512,0.065143675,0.119103126,0.06743885,0.10685784,Lando Vannata
3968,0.15348905,0.1784714,0.0,0.28033507,0.041854467,0.11122559,0.076232724,0.21769387,0.22529013,0.33176145,0.38376722,0.0,0.19095948,0.14975227,0.0,0.5441482,0.07987318,0.12431803,0.1135196,0.05791153,0.07560322,0.30010086,0.1999988,0.28918606,0.071954176,0.001987154,0.14360422,0.24533108,0.13830157,0.12566835,0.0,0.24305739,Paige VanZant
3970,0.07759561,0.17995264,0.0,0.29641113,0.0,0.109327264,0.0,0.06192769,0.059512675,0.14231496,0.17226654,0.0,0.090928905,0.011947101,0.0,0.47533253,0.0,0.0,0.060322084,0.16575745,0.116853684,0.100335345,0.09515352,0.17605224,0.0,0.10323805,0.054459102,0.22755821,0.01049118,0.12300761,0.07481025,0.09796494,Kazula Vargas
3971,0.24261035,0.14741474,0.0,0.40967357,0.16002427,0.23467088,0.07806856,0.25493214,0.32435647,0.4196308,0.3153755,0.0,0.15672648,0.17116617,0.3154621,0.29364097,0.2485716,0.35918978,0.07232827,0.12912396,0.17520708,0.6494633,0.35212615,0.44003952,0.44254753,0.1480357,0.28620535,0.24093996,0.069586664,0.10323569,0.02906803,0.44705793,Jamie Varner
3972,0.0,0.0,0.0,0.052636277,0.049907096,0.4250138,0.0,0.0,0.45859072,0.19934794,0.09689614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22678617,0.0,0.0,0.0,0.0,0.18248408,0.0,0.0,0.0,0.0,0.0,Guilherme Vasconcelos
3976,0.0,0.0,0.0,0.38141972,0.0,0.0,0.20104253,0.0,0.8682258,0.63046837,0.40965965,0.0,0.0,0.0,0.12762062,0.0,0.0,0.08256549,0.0,0.0,0.0,0.8694915,0.0,0.0,0.1516101,0.0,0.40144128,0.0,0.0,0.0,0.052069925,0.0,Javier Vazquez
3978,0.4275856,0.6335302,0.0,0.9300838,0.36617133,0.0,0.11069397,0.19755779,0.42011666,0.7541044,0.519899,0.0,0.08701897,0.14005601,0.7598982,0.040316228,0.52005804,0.4426526,0.0,0.0,0.0,0.8741707,0.6344998,0.4965005,0.66018915,0.0,0.12708853,0.32104623,0.0,0.1417016,0.0,0.38128766,Matt Veach
3979,0.20293745,0.48052856,0.0,0.08760917,0.49950537,0.0,0.0,0.0,0.01240395,0.41324124,0.48309025,0.0,0.0,0.0,0.4693344,0.10982316,0.66734695,0.32002702,0.0,0.0,0.0,0.13100554,0.030228842,0.0,0.44341624,0.0,0.16139856,0.40784365,0.0,0.0,0.0,0.0,Joe Vedepo
