stat_id,strikes_per_minute,strike_accuracy,strikes_absorbed_per_minute,strike_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighters_id
158,4.65,0.49,5.46,0.48,1.2,0.46,0.58,0.0,158
159,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,159
160,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,160
161,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,161
162,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,162
163,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,163
164,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,164
165,4.04,0.47,4.87,0.56,1.86,0.43,0.8,0.7,165
166,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3,166
167,1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0,167
168,4.97,0.45,4.97,0.52,1.0,0.4,0.1,0.0,168
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170
171,2.48,0.43,3.44,0.5,4.36,0.35,0.55,1.4,171
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
173,1.84,0.44,8.97,0.43,0.0,0.0,0.5,0.0,173
174,3.82,0.45,3.22,0.57,0.37,0.35,0.76,0.2,174
175,5.35,0.53,3.64,0.56,1.1,0.5,0.64,0.6,175
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
177,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,177
178,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,178
179,8.92,0.68,6.49,0.38,12.16,0.1,0.0,0.0,179
180,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0,180
181,2.32,0.45,4.01,0.56,1.07,0.1,0.33,0.4,181
182,1.62,0.47,2.01,0.58,2.12,0.36,0.1,5.3,182
183,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2,183
184,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0,184
185,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0,185
186,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,186
187,2.4,0.58,4.52,0.38,0.0,0.0,0.57,0.0,187
188,7.27,0.61,6.8,0.28,0.0,0.0,0.1,0.0,188
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
190,2.94,0.5,4.54,0.55,4.8,0.5,0.6,0.0,190
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
193,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4,193
194,3.35,0.39,5.82,0.35,4.41,0.62,0.1,0.9,194
195,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,195
196,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,196
197,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,197
198,7.84,0.5,4.43,0.63,0.0,0.0,0.83,0.0,198
199,8.07,0.67,2.89,0.65,3.27,0.1,0.1,1.6,199
200,1.27,0.43,3.2,0.36,2.0,0.5,0.66,1.0,200
201,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,201
202,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,202
203,10.33,0.5,6.8,0.52,0.0,0.0,0.57,0.0,203
204,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0,204
205,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,205
206,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,206
207,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,207
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208
209,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,209
210,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0,210
211,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,211
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213
214,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,214
215,2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2,215
216,2.13,0.26,1.87,0.6,0.5,0.16,0.1,0.5,216
217,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0,217
218,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,218
219,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,219
220,4.43,0.44,4.11,0.52,0.0,0.0,0.1,0.0,220
221,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3,221
222,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0,222
223,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3,223
224,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,224
225,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,225
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226
227,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,227
228,3.74,0.71,4.9,0.32,1.75,0.12,0.1,0.0,228
229,4.09,0.49,5.92,0.46,0.36,0.22,0.54,2.0,229
230,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,230
231,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0,231
232,5.04,0.59,3.14,0.56,0.0,0.0,0.72,0.0,232
233,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,233
234,7.17,0.47,4.41,0.57,0.0,0.0,0.85,0.3,234
235,4.02,0.45,4.83,0.61,1.34,0.66,0.1,0.0,235
236,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,236
237,1.74,0.4,0.29,0.0,4.35,0.1,0.0,4.3,237
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
239,1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9,239
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
241,1.4,0.33,2.73,0.5,2.0,0.2,0.66,0.0,241
242,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,242
243,4.2,0.47,1.15,0.66,0.0,0.0,0.1,1.9,243
244,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0,244
245,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,245
246,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,246
